area,lat,lon,pointerorder
內湖區,25.09811355,121.5586567,11
內湖區,25.09442147,121.5556526,12
內湖區,25.09006856,121.5512753,13
內湖區,25.08466608,121.5571547,14
內湖區,25.08482155,121.5607166,15
內湖區,25.07918561,121.5636778,16
內湖區,25.07580393,121.5692139,17
內湖區,25.0715281,121.5720463,18
內湖區,25.06915689,121.5717459,19
內湖區,25.06425885,121.5694714,20
內湖區,25.05924398,121.5709734,21
內湖區,25.05403452,121.571703,22
內湖區,25.05174074,121.5739775,23
內湖區,25.05364575,121.582818,24
內湖區,25.05590062,121.5886974,25
內湖區,25.05967162,121.5929031,26
內湖區,25.05998262,121.5952635,27
內湖區,25.05877747,121.5983963,28
內湖區,25.05924398,121.6053486,29
內湖區,25.06091563,121.6102409,30
內湖區,25.06324812,121.6121721,31
內湖區,25.06445322,121.6135883,32
內湖區,25.06410335,121.616807,33
內湖區,25.06561944,121.6180944,34
內湖區,25.06748536,121.6176224,35
內湖區,25.0683017,121.6198969,36
內湖區,25.07005096,121.6216135,37
內湖區,25.07199456,121.6211843,38
內湖區,25.07319958,121.620841,39
內湖區,25.07467668,121.6218281,40
內湖區,25.07498764,121.6235447,41
內湖區,25.07724213,121.6234589,42
內湖區,25.07883579,121.6242743,43
內湖區,25.08074038,121.6247892,44
內湖區,25.08233399,121.6275358,45
內湖區,25.08431627,121.6276217,46
內湖區,25.08695925,121.62848,47
內湖區,25.09030176,121.6260767,48
內湖區,25.09589832,121.6258621,49
內湖區,25.09846332,121.6216135,50
內湖區,25.10417609,121.614275,51
內湖區,25.10697408,121.6070223,52
內湖區,25.10848964,121.6012716,53
內湖區,25.10984973,121.5976238,54
內湖區,25.11237559,121.5963793,55
北投區,25.12267275,121.4590931,1
北投區,25.12352757,121.4623547,2
北投區,25.1245378,121.4643288,3
北投區,25.1301328,121.4638138,4
北投區,25.13619375,121.4690495,5
北投區,25.14000111,121.472826,6
北投區,25.14784858,121.4816666,7
北投區,25.15080096,121.4842415,8
北投區,25.15095634,121.4869881,9
北投區,25.15305404,121.4875031,10
北投區,25.16027917,121.4924812,11
北投區,25.16470726,121.4985752,12
北投區,25.1711549,121.5019226,13
北投區,25.17309689,121.5040684,14
北投區,25.17131026,121.5056133,15
北投區,25.16960128,121.5112782,16
北投區,25.17107722,121.5135098,17
北投區,25.16944592,121.5198612,18
北投區,25.17861198,121.5215778,19
北投區,25.18311708,121.5279293,20
北投區,25.18412682,121.5338516,21
北投區,25.1866123,121.5361691,22
北投區,25.18754434,121.5410614,23
北投區,25.19305878,121.5426922,24
北投區,25.19756335,121.5476704,25
北投區,25.19740802,121.5514469,26
北投區,25.19981557,121.5527344,27
北投區,25.20199008,121.5524769,28
北投區,25.20431988,121.5531635,29
北投區,25.20812512,121.5553951,30
北投區,25.20991121,121.5592575,31
北投區,25.20921231,121.5625191,32
北投區,25.20183476,121.5649223,33
北投區,25.19802933,121.5699005,34
北投區,25.19523342,121.5759087,35
北投區,25.19173845,121.5705013,36
北投區,25.18886473,121.5668964,37
北投區,25.18622395,121.5681839,38
北投區,25.1776022,121.5641499,39
北投區,25.17581563,121.5621758,40
北投區,25.17099954,121.5624332,41
北投區,25.16851374,121.5630341,42
北投區,25.16035686,121.5596867,43
北投區,25.15157789,121.5504169,44
北投區,25.14722702,121.5493011,45
北投區,25.1417882,121.5464687,46
北投區,25.14163281,121.5413189,47
北投區,25.13891331,121.5362549,48
北投區,25.13627145,121.5312767,49
北投區,25.1330856,121.5310192,50
北投區,25.12733533,121.5313625,51
北投區,25.12585887,121.5299034,52
北投區,25.12461551,121.5292168,53
北投區,25.12251733,121.5258694,54
北投區,25.11987512,121.5254402,55
北投區,25.11777685,121.5236378,56
北投區,25.11404651,121.5252686,57
北投區,25.11171498,121.525526,58
北投區,25.11062692,121.5226078,59
北投區,25.10907254,121.5211487,60
北投區,25.10588598,121.5214062,61
北投區,25.10409837,121.5195179,62
北投區,25.10301024,121.5178871,63
北投區,25.09935717,121.5182304,64
北投區,25.09663673,121.5100765,65
北投區,25.09609264,121.5082741,66
北投區,25.09725855,121.499176,67
北投區,25.10922798,121.4964294,68
北投區,25.11474595,121.4918804,69
北投區,25.11420194,121.4857864,70
北投區,25.11148183,121.4780617,71
北投區,25.11016061,121.4693069,72
北投區,25.11194814,121.4639854,73
北投區,25.11878713,121.4602947,74
南港區,25.05267381,121.5802431,1
南港區,25.05411228,121.5848136,2
南港區,25.05597838,121.5887833,3
南港區,25.05959386,121.5929031,4
南港區,25.05986599,121.5952635,5
南港區,25.0587386,121.5983105,6
南港區,25.05897185,121.6055202,7
南港區,25.06083788,121.6104555,8
南港區,25.06387011,121.6134596,9
南港區,25.06344249,121.6173649,10
南港區,25.06184863,121.6201544,11
南港區,25.05846647,121.6227293,12
南港區,25.05745569,121.6226435,13
南港區,25.0564449,121.621356,14
南港區,25.05512309,121.6207552,15
南港區,25.05411228,121.6208839,16
南港區,25.05247942,121.6187382,17
南港區,25.05080766,121.6160774,18
南港區,25.04785286,121.6167212,19
南港區,25.04322613,121.6192102,20
南港區,25.04260404,121.6199398,21
南港區,25.04015451,121.6217852,22
南港區,25.03945464,121.6236305,23
南港區,25.03836593,121.6247034,24
南港區,25.03770493,121.6252613,25
南港區,25.03739387,121.62745,26
南港區,25.03646068,121.6299391,27
南港區,25.03533307,121.6307974,28
南港區,25.03576079,121.6331577,29
南港區,25.03486647,121.6344881,30
南港區,25.0338555,121.6376209,31
南港區,25.03241679,121.6397667,32
南港區,25.03016148,121.6438437,33
南港區,25.02899493,121.6465473,34
南港區,25.02833388,121.6469336,35
南港區,25.02829499,121.6483068,36
南港區,25.02736173,121.6556025,37
南港區,25.02876162,121.6579199,38
南港區,25.03031702,121.660881,39
南港區,25.03000594,121.6635847,40
南港區,25.02981152,121.6657734,41
南港區,25.02786725,121.6650009,42
南港區,25.02600072,121.6652155,43
南港區,25.02296756,121.6640997,44
南港區,25.02320088,121.6579628,45
南港區,25.0243286,121.6540575,46
南港區,25.02386196,121.6498518,47
南港區,25.02180093,121.6466761,48
南港區,25.02211203,121.6459894,49
南港區,25.02351198,121.6451311,50
南港區,25.02440637,121.6431999,51
南港區,25.02366752,121.6409254,52
南港區,25.02390085,121.6378784,53
南港區,25.02323977,121.6357756,54
南港區,25.02393973,121.6353464,55
南港區,25.02557297,121.6324282,56
南港區,25.02495079,121.6311836,57
南港區,25.02308422,121.6304111,58
南港區,25.02028431,121.6289949,59
南港區,25.01962321,121.6288233,60
南港區,25.01962321,121.6272783,61
南港區,25.01818433,121.6256475,62
南港區,25.01783433,121.6240168,63
南港區,25.01717322,121.6230297,64
南港區,25.01826211,121.6207123,65
南港區,25.01822322,121.6186953,66
南港區,25.01958432,121.616292,67
南港區,25.01923432,121.6134596,68
南港區,25.01977876,121.6123009,69
南港區,25.01985654,121.6100693,70
南港區,25.01915655,121.6094685,71
南港區,25.01903988,121.6039324,72
南港區,25.01526764,121.6028595,73
南港區,25.0146454,121.5974951,74
南港區,25.01359537,121.5912724,75
南港區,25.01359537,121.5889549,76
南港區,25.01375093,121.5848351,77
南港區,25.01320647,121.5806293,78
南港區,25.01518986,121.5788698,79
南港區,25.01674544,121.5800714,80
南港區,25.02145094,121.5858221,81
南港區,25.02456192,121.5856934,82
南港區,25.03210572,121.5911007,83
南港區,25.04155425,121.5869808,84
南港區,25.04147648,121.5858221,85
南港區,25.04408151,121.5820885,86
南港區,25.04421759,121.5812945,87
南港區,25.045384,121.5808654,88
南港區,25.04966074,121.5802002,89
南港區,25.0524211,121.5801573,90
士林區,25.19507809,121.5759087,1
士林區,25.19422377,121.5789986,2
士林區,25.19562174,121.580286,3
士林區,25.19453443,121.5836334,4
士林區,25.19305878,121.5832043,5
士林區,25.18886473,121.5838051,6
士林區,25.18618511,121.5818739,7
士林區,25.18424333,121.5826893,8
士林區,25.18199082,121.5811872,9
士林區,25.18032083,121.5815306,10
士林區,25.17690311,121.583333,11
士林區,25.17503885,121.5826464,12
士林區,25.17033925,121.577754,13
士林區,25.16940708,121.5773249,14
士林區,25.16738735,121.577282,15
士林區,25.16571716,121.578784,16
士林區,25.16560063,121.5829039,17
士林區,25.16323125,121.5877533,18
士林區,25.16354199,121.5897703,19
士林區,25.15717164,121.5918732,20
士林區,25.15274327,121.5898991,21
士林區,25.15049018,121.5931606,22
士林區,25.14691623,121.5947056,23
士林區,25.14341987,121.5960789,24
士林區,25.13774779,121.6028595,25
士林區,25.13665996,121.6052628,26
士林區,25.13370724,121.6046619,27
士林區,25.13052133,121.6049194,28
士林區,25.12982197,121.6075802,29
士林區,25.12585887,121.6045761,30
士林區,25.12539261,121.602087,31
士林區,25.1210408,121.6003704,32
士林區,25.11455166,121.595993,33
士林區,25.11412422,121.5883112,34
士林區,25.10782901,121.5848565,35
士林區,25.10639117,121.5835905,36
士林區,25.10687693,121.58005,37
士林區,25.10571111,121.5790415,38
士林區,25.10674092,121.5746856,39
士林區,25.10382634,121.5696001,40
士林區,25.09920172,121.5669823,41
士林區,25.09819128,121.5624332,42
士林區,25.09807469,121.5586567,43
士林區,25.09302234,121.5541935,44
士林區,25.09259482,121.5414047,45
士林區,25.09142886,121.5380144,46
士林區,25.08781432,121.5331221,47
士林區,25.08140115,121.5262556,48
士林區,25.08175097,121.5250111,49
士林區,25.08035169,121.5242386,50
士林區,25.07545409,121.5253544,51
士林區,25.07545409,121.5242386,52
士林區,25.07712552,121.5221357,53
士林區,25.07634811,121.522007,54
士林區,25.07782518,121.5136814,55
士林區,25.07790292,121.5063,56
士林區,25.08396646,121.5031242,57
士林區,25.08971877,121.4978027,58
士林區,25.09446034,121.4926529,59
士林區,25.09920172,121.4827824,60
士林區,25.10246617,121.4759159,61
士林區,25.10464243,121.4687061,62
士林區,25.10643003,121.4645004,63
士林區,25.11047149,121.4622688,64
士林區,25.11194814,121.4625263,65
士林區,25.11163726,121.463728,66
士林區,25.11023833,121.4721394,67
士林區,25.11202586,121.4800358,68
士林區,25.11482367,121.4881039,69
士林區,25.11427965,121.4919662,70
士林區,25.11132639,121.4959145,71
士林區,25.10339886,121.4972878,72
士林區,25.09904627,121.4978886,73
士林區,25.09640355,121.5016651,74
士林區,25.09601491,121.5096474,75
士林區,25.09927945,121.5184879,76
士林區,25.10269935,121.5179729,77
士林區,25.1055751,121.5212345,78
士林區,25.10883938,121.5214062,79
士林區,25.11016061,121.5224361,80
士林區,25.11155955,121.5256977,81
士林區,25.11567854,121.5247536,82
士林區,25.1175437,121.5237236,83
士林區,25.11948655,121.525526,84
士林區,25.12243962,121.5259552,85
士林區,25.12438238,121.5293026,86
士林區,25.12717992,121.531105,87
士林區,25.13611604,121.5311909,88
士林區,25.14139971,121.5410614,89
士林區,25.1418659,121.5464687,90
士林區,25.14707162,121.5493011,91
士林區,25.15157789,121.5505886,92
士林區,25.16043454,121.5598583,93
士林區,25.16851374,121.5632915,94
士林區,25.1755826,121.5620041,95
士林區,25.1776022,121.5639782,96
士林區,25.18614628,121.5680981,97
士林區,25.18909773,121.5671539,98
士林區,25.19368011,121.5738487,99
大同區,25.07794179,121.5062571,1
大同區,25.07778631,121.513896,2
大同區,25.07630924,121.5218353,3
大同區,25.07327732,121.5205908,4
大同區,25.06387011,121.51896,5
大同區,25.05943836,121.5206766,6
大同區,25.05232391,121.520462,7
大同區,25.04979682,121.5199471,8
大同區,25.04808614,121.5188742,9
大同區,25.04975794,121.5120506,10
大同區,25.04855269,121.5115786,11
大同區,25.04793062,121.5100765,12
大同區,25.04983569,121.5040684,13
大同區,25.05209064,121.5011072,14
大同區,25.05730018,121.5050125,15
大同區,25.06145988,121.5065145,16
大同區,25.06581381,121.5074158,17
大同區,25.07246102,121.507287,18
大同區,25.07677569,121.5064716,19
大安區,25.04532568,121.5330362,1
大安區,25.04462583,121.5369415,2
大安區,25.04458695,121.5437222,3
大安區,25.04513128,121.5466404,4
大安區,25.04462583,121.5490437,5
大安區,25.04415927,121.5535927,6
大安區,25.04482024,121.5575838,7
大安區,25.02938378,121.5574121,8
大安區,25.02778948,121.556468,9
大安區,25.02413417,121.5525627,10
大安區,25.01713433,121.56003,11
大安區,25.01600654,121.5606737,12
大安區,25.01340092,121.5631628,13
大安區,25.01145639,121.5634632,14
大安區,25.01001742,121.5652227,15
大安區,25.0082673,121.5656948,16
大安區,25.00717832,121.5646219,17
大安區,25.01021188,121.5604591,18
大安區,25.0122731,121.5570688,19
大安區,25.01176752,121.5558672,20
大安區,25.01079525,121.5546227,21
大安區,25.00927848,121.5537643,22
大安區,25.00881178,121.5522623,23
大安區,25.00974518,121.5511036,24
大安區,25.0096674,121.5491724,25
大安區,25.00923959,121.5479279,26
大安區,25.00772281,121.544795,27
大安區,25.00783949,121.5418768,28
大安區,25.00842287,121.5393019,29
大安區,25.00861733,121.5378857,30
大安區,25.01133972,121.5373278,31
大安區,25.01441206,121.5347958,32
大安區,25.01962321,121.5293455,33
大安區,25.0231231,121.5252686,34
大安區,25.02806168,121.5217495,35
大安區,25.03233902,121.5223932,36
大安區,25.03548861,121.5242386,37
大安區,25.0340888,121.5272856,38
大安區,25.03346666,121.5327358,39
大安區,25.04485912,121.5329075,40
文山區,25.00811173,121.5316629,1
文山區,25.00593376,121.5328646,2
文山區,25.0035224,121.5337658,3
文山區,25.00216112,121.5335941,4
文山區,25.00107209,121.5315342,5
文山區,25.00006084,121.5307617,6
文山區,24.99796052,121.5307617,7
文山區,24.99527672,121.5319633,8
文山區,24.99379866,121.5317488,9
文山區,24.99235949,121.5313625,10
文山區,24.99029793,121.5318775,11
文山區,24.99484886,121.5352678,12
文山區,24.99208721,121.5373278,13
文山區,24.98959777,121.5365553,14
文山區,24.98808075,121.5386581,15
文山區,24.98811965,121.543808,16
文山區,24.98699159,121.5446663,17
文山區,24.98485215,121.5445805,18
文山區,24.98341287,121.5462542,19
文山區,24.98438536,121.5499878,20
文山區,24.98633031,121.5511036,21
文山區,24.98703049,121.5509319,22
文山區,24.98703049,121.5518761,23
文山區,24.98485215,121.5538931,24
文山區,24.97948393,121.5531206,25
文山區,24.97726655,121.5543222,26
文山區,24.97555486,121.5558243,27
文山區,24.9731818,121.556468,28
文山區,24.97108102,121.5581417,29
文山區,24.96929144,121.5582705,30
文山區,24.96777417,121.5588713,31
文山區,24.96625688,121.56003,32
文山區,24.96485628,121.5609741,33
文山區,24.96466175,121.5630341,34
文山區,24.96419488,121.565609,35
文山區,24.96407817,121.5725613,36
文山區,24.96536205,121.5744925,37
文山區,24.96637359,121.5744495,38
文山區,24.96684045,121.5748358,39
文山區,24.96625688,121.577282,40
文山區,24.9664514,121.5789127,41
文山區,24.96528424,121.5805864,42
文山區,24.96450613,121.5841484,43
文山區,24.96349458,121.5856075,44
文山區,24.96337786,121.5877962,45
文山區,24.96411707,121.5902853,46
文山區,24.96450613,121.5911865,47
文山區,24.96423379,121.5935469,48
文山區,24.96166598,121.5951347,49
文山區,24.96061549,121.5971947,50
文山區,24.96112128,121.5986538,51
文山區,24.96081003,121.6014004,52
文山區,24.96221067,121.6036749,53
文山區,24.9630277,121.6063786,54
文山區,24.96287208,121.6085243,55
文山區,24.96470066,121.6102409,56
文山區,24.96551767,121.612258,57
文山區,24.96664593,121.6147041,58
文山區,24.96621797,121.6151333,59
文山區,24.96734622,121.6171932,60
文山區,24.96684045,121.6184378,61
文山區,24.96761855,121.6196823,62
文山區,24.96952487,121.6197252,63
文山區,24.97038076,121.6195536,64
文山區,24.9708476,121.6171932,65
文山區,24.97337632,121.614275,66
文山區,24.9745823,121.6113567,67
文山區,24.9745045,121.6051769,68
文山區,24.97668302,121.6004133,69
文山區,24.97893931,121.5994263,70
文山區,24.97983404,121.6004992,71
文山區,24.98337397,121.6002417,72
文山區,24.98652481,121.5997696,73
文山區,24.98780846,121.6019154,74
文山區,24.98850863,121.6019583,75
文山區,24.99025903,121.6019583,76
文山區,24.99142596,121.59904,77
文山區,24.99290404,121.5992975,78
文山區,24.99356528,121.598568,79
文山區,24.99504334,121.5983105,80
文山區,24.99589905,121.5991688,81
文山區,24.99648249,121.5995979,82
文山區,24.99776604,121.5998554,83
文山區,24.99866063,121.6006279,84
文山區,25.00107209,121.6004992,85
文山區,25.00255006,121.5995979,86
文山區,25.00344461,121.5986109,87
文山區,25.00430026,121.5977526,88
文山區,25.00441694,121.5970659,89
文山區,25.00605044,121.5962934,90
文山區,25.00768392,121.595521,91
文山區,25.00904513,121.5957785,92
文山區,25.0105619,121.5962505,93
文山區,25.01223421,121.5966368,94
文山區,25.0130898,121.5976667,95
文山區,25.01445095,121.5971088,96
文山區,25.01355648,121.5911865,97
文山區,25.01375093,121.5850496,98
文山區,25.01312869,121.5808439,99
文山區,25.01538431,121.5788269,100
文山區,25.01483985,121.578269,101
文山區,25.01382871,121.5759516,102
文山區,25.0138676,121.573205,103
文山區,25.01258422,121.5718317,104
文山區,25.00881178,121.570158,105
文山區,25.00815062,121.565609,106
文山區,25.00725611,121.5644932,107
文山區,25.01223421,121.5571117,108
文山區,25.01165085,121.5559101,109
文山區,25.01083414,121.5548801,110
文山區,25.00927848,121.5538931,111
文山區,25.00869511,121.5522623,112
文山區,25.00958962,121.5510607,113
文山區,25.0096674,121.5492153,114
文山區,25.00772281,121.544838,115
文山區,25.00772281,121.5419626,116
文山區,25.00853954,121.5378857,117
文山區,25.01114527,121.5373278,118
文山區,25.00842287,121.5320492,119
松山區,25.07148923,121.5514469,1
松山區,25.07545409,121.5515113,2
松山區,25.07559014,121.553185,3
松山區,25.07197513,121.5620255,4
松山區,25.07578449,121.5691066,5
松山區,25.07146979,121.5719175,6
松山區,25.06911802,121.5717244,7
松山區,25.06425885,121.5694284,8
松山區,25.05924398,121.5710163,9
松山區,25.05399565,121.571703,10
松山區,25.05177961,121.5738058,11
松山區,25.05131308,121.5729904,12
松山區,25.04991345,121.5707588,13
松山區,25.04824166,121.5651369,14
松山區,25.04513128,121.5577984,15
松山區,25.04466472,121.5559959,16
松山區,25.04423703,121.5533781,17
松山區,25.04517016,121.5465975,18
松山區,25.04458695,121.5439367,19
松山區,25.06663015,121.544323,20
松山區,25.06919577,121.540246,21
松山區,25.07051743,121.5400743,22
松山區,25.07137261,121.5507174,23
萬華區,25.04944691,121.5039825,1
萬華區,25.04478136,121.4995193,2
萬華區,25.04314837,121.4953995,3
萬華區,25.04190418,121.4873314,4
萬華區,25.03599409,121.4831257,5
萬華區,25.02946155,121.4863014,6
萬華區,25.02487301,121.4876747,7
萬華區,25.01888433,121.4887905,8
萬華區,25.01421761,121.4891338,9
萬華區,25.01079525,121.4917946,10
萬華區,25.0100952,121.4953995,11
萬華區,25.01367315,121.5011501,12
萬華區,25.01826211,121.5056992,13
萬華區,25.02168427,121.509819,14
萬華區,25.02129539,121.5135098,15
萬華區,25.02393973,121.5117931,16
萬華區,25.02487301,121.5089607,17
萬華區,25.02938378,121.5045834,18
萬華區,25.03093918,121.5040684,19
萬華區,25.03657733,121.5067291,20
萬華區,25.03859923,121.5072441,21
萬華區,25.04789174,121.5099478,22
萬華區,25.04956354,121.5041971,23
