id,dateCrawled,name,seller,offerType,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen,ad_exist_time
226416,2016-03-28T11:52:24Z,Golf_4_mit_vielen_neuen_Teilen,privat,Angebot,control,limousine,2001,manuell,75,golf,150000,3,benzin,volkswagen,nein,2016-03-28T00:00:00Z,0,72539,2016-04-04T13:16:44Z,7
215720,2016-03-30T02:00:45Z,Fiat_Seicento_1.1_SX,privat,Angebot,test,kleinwagen,2002,manuell,54,seicento,150000,9,benzin,fiat,nein,2016-03-30T00:00:00Z,0,93167,2016-03-30T08:47:27Z,0
242341,2016-03-05T18:52:14Z,Opel_Kadett_SR_1.3,privat,Angebot,test,limousine,1984,manuell,75,kadett,150000,4,benzin,opel,ja,2016-03-05T00:00:00Z,0,16356,2016-03-10T12:44:15Z,5
241814,2016-03-15T22:48:25Z,Volkswagen_Polo_1.4_TDI_Blue_Motion_Technology_Comfortline,privat,Angebot,control,kleinwagen,2014,manuell,75,polo,40000,6,diesel,volkswagen,nein,2016-03-15T00:00:00Z,0,13158,2016-03-30T18:45:15Z,15
208427,2016-03-08T02:37:02Z,Ford_C_MAX_1.6__Klimaautomatik__Sitzheiung_Scheckheft,privat,Angebot,control,bus,2009,manuell,101,c_max,70000,6,benzin,ford,nein,2016-03-08T00:00:00Z,0,22143,2016-03-22T11:45:17Z,14
229748,2016-03-11T17:45:26Z,Audi_A4_Avant_1.9_TDI,privat,Angebot,control,kombi,1998,manuell,110,a4,150000,2,diesel,audi,nein,2016-03-11T00:00:00Z,0,94571,2016-03-29T09:45:15Z,18
208333,2016-03-18T19:37:22Z,BMW_320i,privat,Angebot,control,limousine,1999,manuell,150,3er,150000,7,benzin,bmw,nein,2016-03-18T00:00:00Z,0,26721,2016-03-25T02:17:47Z,7
238209,2016-04-03T22:50:11Z,VW_Golf_1_Cabrio_1.8L_KARMANN_classic_Line_mit_Neuem_TÜV,privat,Angebot,control,cabrio,1992,manuell,90,golf,150000,12,benzin,volkswagen,nein,2016-04-03T00:00:00Z,0,89522,2016-04-06T00:45:10Z,3
220246,2016-04-03T22:43:16Z,Renault_Laguna_Grandtour_2.2_dCi_FAP,privat,Angebot,control,kombi,2004,manuell,139,laguna,150000,12,diesel,renault,nein,2016-04-03T00:00:00Z,0,13439,2016-04-05T23:45:01Z,2
201804,2016-03-17T13:46:15Z,VW_Polo_9N_schwarz,privat,Angebot,control,kleinwagen,2004,manuell,62,polo,90000,1,benzin,volkswagen,nein,2016-03-17T00:00:00Z,0,59602,2016-03-17T13:46:15Z,0
230498,2016-04-02T07:36:45Z,Citroen_C8_2_0_Diesel_/_Gruene_Plakette_/_7_Sitze_/_Klima,privat,Angebot,test,bus,2004,manuell,107,andere,150000,3,diesel,citroen,nein,2016-04-02T00:00:00Z,0,59067,2016-04-06T05:15:55Z,4
241579,2016-03-31T17:55:44Z,Volkswagen_9N_1.4_16v,privat,Angebot,control,kleinwagen,2003,manuell,101,polo,150000,5,benzin,volkswagen,nein,2016-03-31T00:00:00Z,0,99510,2016-03-31T17:55:44Z,0
222341,2016-04-04T23:55:11Z,Mercedes_Benz_C_180_Elegance,privat,Angebot,control,limousine,1995,manuell,122,c_klasse,150000,6,benzin,mercedes_benz,nein,2016-04-04T00:00:00Z,0,28717,2016-04-07T09:46:47Z,3
238828,2016-03-29T13:50:50Z,Ford_Galaxy_2.0_L_7_Sitzer_mit_LPG_Prins,privat,Angebot,control,bus,2001,manuell,116,galaxy,150000,8,lpg,ford,nein,2016-03-29T00:00:00Z,0,57439,2016-04-03T22:17:33Z,5
245288,2016-04-01T16:45:45Z,Peugeot_307_CC_140,privat,Angebot,control,cabrio,2008,manuell,140,3_reihe,80000,10,benzin,peugeot,nein,2016-04-01T00:00:00Z,0,49586,2016-04-05T11:48:33Z,4
244861,2016-03-28T18:39:50Z,Seat_Arosa_1.0,privat,Angebot,control,kleinwagen,2001,manuell,50,arosa,125000,10,benzin,seat,nein,2016-03-28T00:00:00Z,0,02991,2016-04-07T00:17:50Z,10
209966,2016-04-03T19:55:35Z,Renault_Megane_1.5_dCi_FAP_eco,privat,Angebot,test,limousine,2008,manuell,103,megane,150000,7,diesel,renault,nein,2016-04-03T00:00:00Z,0,81673,2016-04-05T20:45:33Z,2
223674,2016-03-27T20:50:16Z,BMW_325ti_compact_M_Paket_Steptronic_Xenon_Leder_TOP,privat,Angebot,control,limousine,2001,automatik,192,3er,150000,10,benzin,bmw,nein,2016-03-27T00:00:00Z,0,32425,2016-04-05T19:45:31Z,9
240954,2016-03-29T19:37:55Z,Volkswagen_Passat_Variant_1.8_5V,privat,Angebot,control,kombi,1998,manuell,125,passat,150000,5,benzin,volkswagen,nein,2016-03-29T00:00:00Z,0,72657,2016-04-06T05:17:26Z,8
206903,2016-03-11T12:53:06Z,BMW_Z3_roadster_2.0,privat,Angebot,test,cabrio,1999,automatik,150,z_reihe,150000,12,benzin,bmw,nein,2016-03-11T00:00:00Z,0,83487,2016-03-12T02:45:38Z,1
212428,2016-03-16T19:47:54Z,Opel_Corsa_C_Rentnerauto_TÜV_neu!,privat,Angebot,test,kleinwagen,2004,manuell,74,corsa,80000,7,benzin,opel,nein,2016-03-15T00:00:00Z,0,28879,2016-03-17T18:57:54Z,2
221956,2016-03-26T18:40:12Z,Renault_R_5,privat,Angebot,test,kleinwagen,1982,manuell,44,andere,80000,10,benzin,renault,nein,2016-03-26T00:00:00Z,0,76135,2016-04-06T07:44:54Z,11
216640,2016-03-23T23:53:12Z,Renault_Laguna_1.8_Initiale,privat,Angebot,control,limousine,2001,manuell,120,laguna,100000,8,benzin,renault,ja,2016-03-23T00:00:00Z,0,34212,2016-04-06T17:16:26Z,14
238399,2016-03-13T23:46:27Z,US_Granada_Mercury_Monarch_US_Car_Ammy,privat,Angebot,test,limousine,1979,automatik,94,NA,150000,6,benzin,ford,ja,2016-03-13T00:00:00Z,0,24242,2016-04-07T01:17:45Z,25
218199,2016-04-03T13:56:16Z,FIESTA_TÜV_2.18,privat,Angebot,control,kleinwagen,2001,manuell,50,fiesta,150000,5,benzin,ford,nein,2016-04-03T00:00:00Z,0,46562,2016-04-03T13:56:16Z,0
240181,2016-04-01T18:37:33Z,Audi_A3_2.0_TDI_Sportback_S_line_Sportpaket_plus_SHZ,privat,Angebot,control,kombi,2005,manuell,140,a3,150000,12,diesel,audi,nein,2016-04-01T00:00:00Z,0,27389,2016-04-05T14:16:51Z,4
225932,2016-03-30T22:55:28Z,Toyota_Rav_4_4X4_5_Tuerig_2_0_Liter_Export,privat,Angebot,control,suv,1997,manuell,115,rav,150000,1,benzin,toyota,nein,2016-03-30T00:00:00Z,0,12439,2016-04-05T17:45:24Z,6
244972,2016-03-29T15:39:09Z,Volvo_XC90_D5,privat,Angebot,control,suv,2005,manuell,185,xc_reihe,150000,8,diesel,volvo,nein,2016-03-29T00:00:00Z,0,96472,2016-04-03T23:47:01Z,5
220917,2016-03-25T19:25:25Z,Mazda_6_1.8_Exclusive,privat,Angebot,control,limousine,2004,manuell,120,6_reihe,80000,7,benzin,mazda,nein,2016-03-25T00:00:00Z,0,55411,2016-04-05T14:46:49Z,11
223469,2016-03-15T20:53:09Z,Opel_Astra_2.0_DTI_Caravan_Comfort___HU_01/2017,privat,Angebot,test,kombi,2002,manuell,101,astra,150000,1,diesel,opel,nein,2016-03-15T00:00:00Z,0,24860,2016-03-24T12:46:06Z,9
206807,2016-04-01T14:45:43Z,Golf_3_1.6_Benzin__TÜV.04.2017,privat,Angebot,test,limousine,1993,manuell,0,golf,150000,12,benzin,volkswagen,nein,2016-04-01T00:00:00Z,0,66115,2016-04-07T11:45:14Z,6
246687,2016-03-09T19:37:43Z,Audi_A2_1.4_Klima_Open_Sky_Mod_2003,privat,Angebot,test,kleinwagen,2002,manuell,75,a2,150000,10,benzin,audi,nein,2016-03-09T00:00:00Z,0,64625,2016-04-05T12:45:59Z,27
214772,2016-03-07T01:51:27Z,Ford_Fiesta_1_6_TDCI_Ghia_TÜV_neu_Zahnriemen_neu,privat,Angebot,control,limousine,2006,manuell,90,fiesta,150000,6,diesel,ford,nein,2016-03-07T00:00:00Z,0,71636,2016-04-07T06:46:38Z,31
210624,2016-03-07T14:49:46Z,Subaru_Legacy_2.0_/_HU_Neu_/_viele_Extras,privat,Angebot,control,kombi,1996,manuell,116,legacy,150000,0,benzin,subaru,nein,2016-03-07T00:00:00Z,0,57392,2016-03-17T19:20:10Z,10
220100,2016-03-14T22:36:59Z,Volkswagen_Golf_Cabrio_1.6,privat,Angebot,control,cabrio,1998,manuell,101,golf,150000,8,benzin,volkswagen,nein,2016-03-14T00:00:00Z,0,78462,2016-04-07T12:17:07Z,24
200183,2016-03-09T14:56:22Z,Ford_escort_1_jahr_tuev,privat,Angebot,test,limousine,1996,automatik,90,escort,150000,1,benzin,ford,nein,2016-03-09T00:00:00Z,0,44379,2016-04-06T23:16:09Z,28
226831,2016-03-23T23:53:46Z,Opel_Insignia_1.6_Selection,privat,Angebot,control,limousine,2008,manuell,116,insignia,50000,9,benzin,opel,nein,2016-03-23T00:00:00Z,0,34376,2016-03-24T07:40:13Z,1
229275,2016-03-10T12:52:34Z,Audi_A3_1.8_TFSI_Sportback_quattro_S_line_Sportpaket,privat,Angebot,test,kombi,2011,manuell,160,a3,80000,3,benzin,audi,ja,2016-03-10T00:00:00Z,0,66849,2016-03-10T12:52:34Z,0
233972,2016-03-26T21:57:56Z,BMW_318i,privat,Angebot,control,limousine,1997,manuell,116,3er,150000,8,benzin,bmw,ja,2016-03-26T00:00:00Z,0,90766,2016-03-26T21:57:56Z,0
224055,2016-04-02T18:58:11Z,Renault_Megane_Grandtour_1.4,privat,Angebot,control,kombi,2000,manuell,75,megane,150000,8,benzin,renault,nein,2016-04-02T00:00:00Z,0,22149,2016-04-06T18:48:08Z,4
237891,2016-04-02T07:55:01Z,SPRINTER_211_CDI__MITTELLANG__FLACH__Hobbyfahreug!,privat,Angebot,test,kombi,2007,manuell,110,sprinter,150000,1,diesel,mercedes_benz,nein,2016-04-02T00:00:00Z,0,45665,2016-04-06T07:15:28Z,4
204782,2016-04-03T16:41:56Z,Lpg_Automatikgetriebe,privat,Angebot,control,suv,2005,automatik,258,NA,125000,3,lpg,sonstige_autos,nein,2016-04-03T00:00:00Z,0,41515,2016-04-05T15:46:21Z,2
212431,2016-03-15T21:52:39Z,Renault_Clio_zu_verkaufen,privat,Angebot,control,kleinwagen,2008,manuell,106,clio,150000,1,diesel,renault,nein,2016-03-15T00:00:00Z,0,66679,2016-04-05T03:44:26Z,21
227502,2016-03-21T11:25:19Z,Ford_Fiesta_1_4_Ghia_80_PS,privat,Angebot,control,kleinwagen,2004,manuell,80,fiesta,150000,10,benzin,ford,nein,2016-03-21T00:00:00Z,0,35578,2016-03-22T20:10:19Z,1
229790,2016-03-15T14:48:07Z,Renault_Espace_2.0_RT,privat,Angebot,control,bus,1997,manuell,114,espace,150000,4,benzin,renault,nein,2016-03-15T00:00:00Z,0,64331,2016-04-06T05:15:54Z,22
205390,2016-04-03T10:51:51Z,Opel_Corsa_1.0_12V,privat,Angebot,control,kleinwagen,2004,manuell,60,corsa,80000,12,benzin,opel,nein,2016-04-03T00:00:00Z,0,08548,2016-04-03T10:51:51Z,0
207420,2016-03-20T20:46:42Z,Peugeot_307_HDi_110_Klimatronic_DISEL,privat,Angebot,test,limousine,2003,manuell,0,3_reihe,150000,8,diesel,peugeot,nein,2016-03-20T00:00:00Z,0,76887,2016-04-07T05:17:37Z,18
209955,2016-03-22T12:46:29Z,VW_Golf_1_4_/_Klima,privat,Angebot,control,limousine,1998,manuell,101,golf,150000,1,benzin,volkswagen,nein,2016-03-22T00:00:00Z,0,91301,2016-03-29T15:46:04Z,7
207501,2016-03-27T17:25:23Z,Audi_A3_1.9_TDI_DPF_TÜV_NEU,privat,Angebot,control,limousine,2008,manuell,105,a3,150000,4,diesel,audi,nein,2016-03-27T00:00:00Z,0,61381,2016-04-05T22:46:15Z,9
245482,2016-03-20T11:37:21Z,Mercedes_Benz_E_270_T_CDI_Elegance_Automatik_navi,privat,Angebot,test,kombi,2003,automatik,170,e_klasse,150000,5,diesel,mercedes_benz,nein,2016-03-20T00:00:00Z,0,65549,2016-04-06T15:44:30Z,17
244515,2016-04-01T15:47:00Z,Fiat_Grande_Punto_1.4_8V_Dynamic_|_8x_bereift_|_1.Hd.,privat,Angebot,test,kleinwagen,2009,manuell,77,andere,150000,4,benzin,fiat,nein,2016-04-01T00:00:00Z,0,50389,2016-04-07T13:17:19Z,6
200057,2016-03-18T10:38:52Z,Opel_Zafira_1.6_Selection_Free__Auffahrunfall_,privat,Angebot,control,bus,2002,manuell,101,zafira,150000,10,benzin,opel,ja,2016-03-18T00:00:00Z,0,22417,2016-03-27T22:47:02Z,9
222147,2016-03-11T19:38:36Z,Mercedes_Benz_CLK_Coupe_200_Elegance,privat,Angebot,test,coupe,1997,automatik,136,clk,150000,6,benzin,mercedes_benz,nein,2016-03-11T00:00:00Z,0,02779,2016-04-06T00:16:43Z,26
230991,2016-03-15T20:57:25Z,Volkswagen_Golf_1.4_Generation,privat,Angebot,test,limousine,2000,manuell,75,golf,150000,1,benzin,volkswagen,nein,2016-03-15T00:00:00Z,0,27386,2016-04-07T04:46:49Z,23
211677,2016-03-24T18:46:47Z,Mitsubishi_Carisma_GDI_EXE_TÜV_bis_7/17_Klima_Anhaengerkuppl,privat,Angebot,test,limousine,1999,manuell,125,carisma,150000,7,benzin,mitsubishi,nein,2016-03-24T00:00:00Z,0,16306,2016-04-07T12:45:53Z,14
216048,2016-03-09T01:36:22Z,Corsa_b__bj96,privat,Angebot,control,kleinwagen,1996,manuell,0,NA,150000,0,benzin,opel,ja,2016-03-09T00:00:00Z,0,44627,2016-03-10T13:15:32Z,1
236993,2016-03-07T19:51:45Z,Ford_Mondeo_Turnier_2.0_TDCi_Aut._Titanium_X,privat,Angebot,control,kombi,2008,automatik,131,mondeo,150000,12,diesel,ford,nein,2016-03-07T00:00:00Z,0,28279,2016-04-07T12:45:46Z,31
213244,2016-03-05T15:55:16Z,Volkswagen_Passat_Variant_2.0_TDI_Highline,privat,Angebot,control,kombi,2005,manuell,140,passat,150000,8,diesel,volkswagen,nein,2016-03-05T00:00:00Z,0,34233,2016-03-08T20:48:11Z,3
232567,2016-03-25T09:37:23Z,Renault_Twingo_Authentique_1_2,privat,Angebot,test,limousine,2010,manuell,58,twingo,70000,2,benzin,renault,ja,2016-03-25T00:00:00Z,0,88633,2016-03-29T21:18:55Z,4
227354,2016-04-04T13:53:46Z,Audi_A4_Avant_2.5_TDI_Gruene_Plakette_Bi_Xenon_S_Line,privat,Angebot,control,kombi,2004,manuell,163,a4,150000,4,diesel,audi,nein,2016-04-04T00:00:00Z,0,86343,2016-04-06T15:16:42Z,2
238614,2016-03-17T13:46:39Z,sehr_gepflegter_VW_Polo_IV__Garage__NR__SoSD__5_Gang__erst_89tkm,privat,Angebot,control,kleinwagen,1996,manuell,50,polo,90000,10,benzin,volkswagen,nein,2016-03-17T00:00:00Z,0,42897,2016-03-20T14:47:36Z,3
215582,2016-03-06T14:48:22Z,Citroen_Saxo_1.1i,privat,Angebot,control,kleinwagen,1999,manuell,54,andere,125000,10,benzin,citroen,ja,2016-03-06T00:00:00Z,0,90513,2016-03-06T14:48:22Z,0
236890,2016-03-20T14:49:59Z,Opel_Corsa,privat,Angebot,test,kleinwagen,2002,manuell,58,corsa,80000,4,benzin,opel,nein,2016-03-20T00:00:00Z,0,88339,2016-04-06T18:44:57Z,17
214689,2016-03-14T17:44:04Z,Nissan_Almera_Tino_visia,privat,Angebot,test,bus,2003,manuell,116,almera,150000,11,benzin,nissan,nein,2016-03-14T00:00:00Z,0,86480,2016-03-15T12:17:59Z,1
231243,2016-04-02T15:52:48Z,Mitsubishi_Galant_V6_Winter_Edition_TÜV_bis_5/2017**1xReserviert,privat,Angebot,control,limousine,1999,manuell,163,galant,150000,3,benzin,mitsubishi,ja,2016-04-02T00:00:00Z,0,64385,2016-04-06T14:46:01Z,4
204111,2016-03-29T14:50:54Z,Chevrolet_K30,privat,Angebot,test,suv,1987,automatik,0,andere,150000,4,benzin,chevrolet,nein,2016-03-29T00:00:00Z,0,65779,2016-04-05T17:45:18Z,7
