id,dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen,ad_exist_time
126239,2016-03-27T12:55:47Z,Renault_Twingo_1.2,privat,Angebot,588,test,kleinwagen,1999,manuell,58,twingo,150000,3,benzin,renault,nein,2016-03-27T00:00:00Z,0,47178,2016-04-07T08:44:20Z,11
156163,2016-03-12T18:58:31Z,Audi_80_quattro,privat,Angebot,256,test,limousine,1992,manuell,119,80,150000,3,benzin,audi,ja,2016-03-12T00:00:00Z,0,96181,2016-03-17T22:47:05Z,5
143443,2016-03-26T17:49:21Z,Mazda_626_2.0_Exclusive,privat,Angebot,482,control,limousine,2000,manuell,116,6_reihe,150000,2,benzin,mazda,ja,2016-03-26T00:00:00Z,0,21706,2016-04-02T09:17:26Z,7
37233,2016-03-15T13:54:57Z,Opel_Meriva_1.8_16V_Easyt_Cosmo_2.Hd_PDC_2xGSD_KliAut,privat,Angebot,5490,control,bus,2005,automatik,125,meriva,125000,11,benzin,opel,nein,2016-03-15T00:00:00Z,0,13439,2016-03-17T08:47:22Z,2
116063,2016-03-20T15:56:24Z,Mercedes_Benz_E500_AMG_E63_Optik,privat,Angebot,6959,control,limousine,2003,automatik,306,e_klasse,150000,9,benzin,mercedes_benz,nein,2016-03-20T00:00:00Z,0,31135,2016-03-24T08:17:57Z,4
82676,2016-03-27T17:50:00Z,Volkswagen_Polo_1.4_TDI_DPF_Trendline,privat,Angebot,4252,test,kleinwagen,2008,manuell,69,polo,150000,10,diesel,volkswagen,nein,2016-03-27T00:00:00Z,0,88605,2016-04-05T14:16:06Z,9
65461,2016-03-18T17:36:19Z,Audi_100_Avant__Typ_44__Youngtimer,privat,Angebot,2784,test,kombi,1989,manuell,90,100,150000,9,benzin,audi,nein,2016-03-18T00:00:00Z,0,80337,2016-04-05T22:44:35Z,18
84059,2016-03-11T13:52:13Z,Volkswagen_Golf_2.0_TDI_DPF_Highline,privat,Angebot,8880,test,limousine,2010,manuell,140,golf,150000,3,diesel,volkswagen,nein,2016-03-11T00:00:00Z,0,48165,2016-03-17T20:48:36Z,6
73044,2016-03-14T19:47:12Z,Seat_Ibiza_SC_1.2_12V_Style_4YOU,privat,Angebot,9051,control,kleinwagen,2014,manuell,69,ibiza,10000,2,benzin,seat,nein,2016-03-13T00:00:00Z,0,66798,2016-03-29T22:46:22Z,16
174096,2016-04-04T13:49:46Z,Skoda_Rapid_Spaceback_1.2_TSI_Style+,privat,Angebot,9970,control,kombi,2014,manuell,86,andere,30000,6,benzin,skoda,nein,2016-04-04T00:00:00Z,0,46539,2016-04-04T13:49:46Z,0
54585,2016-03-26T17:25:18Z,Toyota_Avensis_2.0_D4D,privat,Angebot,1636,test,kombi,2002,manuell,110,avensis,150000,6,diesel,toyota,nein,2016-03-26T00:00:00Z,0,65934,2016-04-02T17:44:29Z,7
78575,2016-03-05T14:21:04Z,Volkswagen_Passat_Variant_1.9_TDI_Highline,privat,Angebot,3596,test,kombi,2005,manuell,131,passat,150000,5,diesel,volkswagen,nein,2016-03-04T00:00:00Z,0,65606,2016-04-05T12:44:56Z,32
178414,2016-03-10T01:37:15Z,VW_POLO_CROSS,privat,Angebot,5774,test,kleinwagen,2006,manuell,80,polo,20000,10,benzin,volkswagen,nein,2016-03-10T00:00:00Z,0,46286,2016-04-06T02:15:20Z,27
164555,2016-03-30T11:38:56Z,Citroen_C1_VTi_68_FEEL__Neuwagen_Schnaeppchen__36%_Nachlass,privat,Angebot,8518,test,kleinwagen,2016,manuell,69,c1,5000,3,benzin,citroen,nein,2016-03-30T00:00:00Z,0,49716,2016-04-07T02:15:49Z,8
145094,2016-03-31T09:51:59Z,BMW_120d_177PS_Top_Zustand_und_Traum_Ausstattung,privat,Angebot,8981,control,limousine,2007,manuell,177,1er,125000,8,diesel,bmw,nein,2016-03-31T00:00:00Z,0,66822,2016-04-06T03:16:09Z,6
87897,2016-03-07T21:56:35Z,Renault_Koleos,privat,Angebot,7966,control,suv,2009,manuell,155,andere,125000,10,diesel,renault,nein,2016-03-07T00:00:00Z,0,76448,2016-04-06T10:44:42Z,30
91250,2016-04-04T19:53:28Z,Peugeot_307_HDi_110_Sportline,privat,Angebot,2769,test,limousine,2005,manuell,109,3_reihe,150000,8,diesel,peugeot,ja,2016-04-04T00:00:00Z,0,35279,2016-04-06T22:16:58Z,2
96019,2016-03-05T21:06:19Z,Volkswagen_Passat_Variant_1.6,privat,Angebot,1964,control,kombi,1999,manuell,101,passat,150000,11,benzin,volkswagen,nein,2016-03-05T00:00:00Z,0,63303,2016-03-08T13:18:36Z,3
25452,2016-03-22T14:52:22Z,Audi_A4_Cabriolet_2.5_TDI/tuev_neu/Xenon/Leder,privat,Angebot,6454,control,cabrio,2003,manuell,163,a4,150000,5,diesel,audi,nein,2016-03-22T00:00:00Z,0,90475,2016-03-22T15:44:18Z,0
57176,2016-03-12T04:36:18Z,Mercedes_E220cdi_mit_TÜV_bis_02/2017,privat,Angebot,2013,control,kombi,2002,automatik,143,e_klasse,150000,1,diesel,mercedes_benz,nein,2016-03-12T00:00:00Z,0,99974,2016-03-14T15:44:22Z,2
125067,2016-03-13T20:49:29Z,BMW_528,privat,Angebot,4181,control,limousine,1997,automatik,193,5er,150000,3,benzin,bmw,nein,2016-03-13T00:00:00Z,0,73779,2016-03-17T14:16:37Z,4
137634,2016-03-16T12:47:19Z,Alfa_Romeo_145_16_V_Twin_Spark,privat,Angebot,498,test,kleinwagen,2001,manuell,103,145,150000,3,benzin,alfa_romeo,nein,2016-03-16T00:00:00Z,0,24143,2016-03-17T10:18:28Z,1
31455,2016-03-30T19:42:09Z,Opel_Agila_TÜV_Neu_Rentner_wg._Krankheit,privat,Angebot,1899,test,kleinwagen,2002,manuell,75,agila,125000,4,benzin,opel,nein,2016-03-30T00:00:00Z,0,13503,2016-04-05T08:18:20Z,6
159985,2016-03-09T15:59:06Z,BMW_530xd_Touring_Aut.,privat,Angebot,8299,control,kombi,2005,automatik,231,5er,150000,12,diesel,bmw,nein,2016-03-09T00:00:00Z,0,71106,2016-04-07T02:16:48Z,29
39514,2016-04-04T20:43:26Z,Mitsubishi_Colt_1.4_TÜV_NEU,privat,Angebot,1093,control,kleinwagen,2000,manuell,0,colt,150000,0,benzin,mitsubishi,ja,2016-04-04T00:00:00Z,0,91056,2016-04-06T22:46:40Z,2
107765,2016-03-09T14:47:24Z,Volkswagen_Polo_75_Servo_Highline,privat,Angebot,478,test,kleinwagen,1998,automatik,75,polo,150000,1,benzin,volkswagen,nein,2016-03-09T00:00:00Z,0,40625,2016-03-16T13:47:47Z,7
195837,2016-03-21T21:36:41Z,Volkswagen_Vento_1.8_Tief,privat,Angebot,466,control,limousine,1992,manuell,90,andere,150000,5,benzin,volkswagen,nein,2016-03-21T00:00:00Z,0,02829,2016-04-07T03:16:18Z,17
83302,2016-04-04T23:00:14Z,Hyundai_i10_1.1_Style_Zahnriemen_Wasserpumpe_bremsen_neu,privat,Angebot,2960,test,kleinwagen,2008,manuell,67,i_reihe,100000,7,benzin,hyundai,nein,2016-04-04T00:00:00Z,0,53844,2016-04-07T02:44:32Z,3
16296,2016-03-24T20:58:59Z,Audi_80_Comfort_Edition,privat,Angebot,1264,test,limousine,1991,manuell,69,80,100000,2,benzin,audi,nein,2016-03-24T00:00:00Z,0,38855,2016-04-05T13:47:09Z,12
34045,2016-03-07T13:46:06Z,Hyundai_i10_1.1_Classic,privat,Angebot,1573,control,kleinwagen,2013,manuell,69,i_reihe,10000,6,benzin,hyundai,ja,2016-03-07T00:00:00Z,0,66386,2016-03-29T19:47:33Z,22
37786,2016-03-30T05:36:22Z,Bmw_523_i_mit_TÜV,privat,Angebot,1028,test,kombi,1997,manuell,170,5er,150000,6,benzin,bmw,nein,2016-03-30T00:00:00Z,0,21706,2016-04-06T23:16:40Z,7
5782,2016-03-25T10:48:01Z,Opel_Vectra_1.8_GTS,privat,Angebot,4911,test,limousine,2006,manuell,140,vectra,150000,3,benzin,opel,nein,2016-03-25T00:00:00Z,0,07356,2016-03-31T17:17:20Z,6
56109,2016-03-12T19:51:16Z,Opel_Corsa_1.0_12V_Njoy,privat,Angebot,1642,test,kleinwagen,2003,manuell,58,corsa,150000,1,benzin,opel,nein,2016-03-12T00:00:00Z,0,33397,2016-03-15T07:15:31Z,3
72707,2016-03-26T11:53:00Z,Top_Ford_Ka_mit_Neuem_TÜV,privat,Angebot,1168,control,kleinwagen,2002,manuell,60,ka,125000,8,benzin,ford,nein,2016-03-26T00:00:00Z,0,40233,2016-04-06T00:15:22Z,11
55118,2016-03-20T14:48:49Z,Mercedes_Benz_B_200,privat,Angebot,6804,test,bus,2008,manuell,136,b_klasse,150000,5,benzin,mercedes_benz,nein,2016-03-20T00:00:00Z,0,33104,2016-03-28T14:44:29Z,8
23870,2016-03-14T22:40:18Z,Opel_Kadett_C_Limousine_Berlina,privat,Angebot,3113,control,limousine,1978,manuell,60,kadett,100000,11,benzin,opel,nein,2016-03-14T00:00:00Z,0,46282,2016-03-20T14:17:16Z,6
26021,2016-03-19T13:53:01Z,Renault_Megane_Scenic_1.6_Kaleido,privat,Angebot,703,test,bus,2000,manuell,107,megane,150000,3,benzin,renault,nein,2016-03-19T00:00:00Z,0,04319,2016-03-21T18:45:18Z,2
174348,2016-03-08T18:40:18Z,VW_TOURAN_1_6_ltr._blau_technisch_TOP!!!,privat,Angebot,3898,test,bus,2004,manuell,0,touran,150000,10,benzin,volkswagen,nein,2016-03-08T00:00:00Z,0,63906,2016-03-16T22:18:28Z,8
84982,2016-03-27T19:49:56Z,BMW_318i_KOMBI,privat,Angebot,1058,control,kombi,1997,manuell,100,3er,150000,8,benzin,bmw,ja,2016-03-27T00:00:00Z,0,31547,2016-04-05T18:15:57Z,9
20032,2016-03-24T14:37:39Z,Audi_A2_1.4,privat,Angebot,4012,test,kleinwagen,2003,manuell,75,a2,150000,12,benzin,audi,nein,2016-03-24T00:00:00Z,0,24149,2016-04-07T07:16:57Z,14
29928,2016-03-23T15:50:40Z,Volkswagen_Passat_2.5_TDI_V6_4Motion_Highline,privat,Angebot,3229,test,limousine,2003,automatik,150,passat,150000,11,diesel,volkswagen,nein,2016-03-23T00:00:00Z,0,20537,2016-03-23T15:50:40Z,0
178092,2016-03-12T22:43:07Z,Sondermodell_Golf_IV_Generation_1_6l_Benzin_mit_vielen_Extras,privat,Angebot,1698,control,limousine,1999,manuell,101,golf,150000,10,benzin,volkswagen,nein,2016-03-12T00:00:00Z,0,21037,2016-03-23T15:47:28Z,11
182048,2016-03-05T16:39:49Z,Mazda_Demio_1_4_mit_AHK__TÜV_neu__8_fach_bereift,privat,Angebot,426,control,bus,1999,manuell,63,andere,150000,1,benzin,mazda,nein,2016-03-05T00:00:00Z,0,66386,2016-03-05T16:39:49Z,0
168360,2016-04-03T14:36:40Z,Opel_Corsa_1.0_59_PS_TÜV_NEU!,privat,Angebot,2517,test,kleinwagen,2003,manuell,59,corsa,150000,1,benzin,opel,nein,2016-04-03T00:00:00Z,0,14050,2016-04-05T13:18:01Z,2
109731,2016-03-20T12:50:53Z,Kia_Ceed_1.4_CVVT,privat,Angebot,6467,test,limousine,2009,manuell,109,ceed,100000,6,benzin,kia,nein,2016-03-20T00:00:00Z,0,33102,2016-03-22T19:47:54Z,2
52932,2016-03-10T21:55:22Z,Volkswagen_Lupo_1.4__TÜV_1/18,privat,Angebot,1282,control,kleinwagen,1999,manuell,75,lupo,150000,4,benzin,volkswagen,nein,2016-03-10T00:00:00Z,0,24890,2016-03-15T19:19:39Z,5
160860,2016-03-31T14:57:27Z,A6_Kombi_Blau,privat,Angebot,5954,control,kombi,2006,manuell,170,a6,150000,2,diesel,audi,ja,2016-03-31T00:00:00Z,0,17406,2016-04-06T07:45:25Z,6
13303,2016-03-09T17:43:12Z,Ford_Fiesta_1.6_TDCi_Econetic_Trend_TueV_NEU_Sparsam,privat,Angebot,7415,test,kleinwagen,2011,manuell,95,fiesta,100000,12,diesel,ford,nein,2016-03-09T00:00:00Z,0,51069,2016-04-07T08:16:49Z,29
16013,2016-03-07T21:42:10Z,Oldtimer__V8__Dodge_W_200__pick_Up_mit_H_Kennzeichen,privat,Angebot,7936,control,suv,1976,automatik,150,,150000,6,benzin,chrysler,nein,2016-03-07T00:00:00Z,0,75446,2016-04-03T22:18:57Z,27
55640,2016-03-10T20:49:04Z,Opel_Corsa_1.2__Euro4__Servo__Klima,privat,Angebot,811,test,kleinwagen,2005,manuell,80,corsa,50000,0,benzin,opel,ja,2016-03-10T00:00:00Z,0,30519,2016-03-10T20:49:04Z,0
98763,2016-03-12T16:39:19Z,BMW_525d_Aut.,privat,Angebot,9035,control,limousine,2005,automatik,177,5er,150000,4,diesel,bmw,nein,2016-03-12T00:00:00Z,0,42107,2016-03-12T16:39:19Z,0
171114,2016-03-26T21:44:51Z,BMW_318i_Exklusiv_M_Packet_1_TÜV_Neu,privat,Angebot,4901,control,limousine,2004,manuell,143,3er,150000,9,benzin,bmw,nein,2016-03-26T00:00:00Z,0,30449,2016-04-01T03:46:38Z,6
141380,2016-03-24T13:46:56Z,C_180_SPORTCOUPE_W_203,privat,Angebot,2629,control,coupe,2001,manuell,129,c_klasse,150000,7,benzin,mercedes_benz,nein,2016-03-24T00:00:00Z,0,28876,2016-03-25T22:19:07Z,1
83046,2016-03-22T13:51:35Z,Volkswagen_Golf,privat,Angebot,3013,control,kleinwagen,1982,manuell,54,golf,150000,5,benzin,volkswagen,nein,2016-03-22T00:00:00Z,0,49536,2016-04-06T03:17:32Z,15
107698,2016-03-13T10:25:20Z,Mitsubishi_Colt_1.3_Intense_mit_Extras,privat,Angebot,5692,test,limousine,2009,manuell,95,colt,90000,6,benzin,mitsubishi,nein,2016-03-13T00:00:00Z,0,60326,2016-04-05T18:45:01Z,23
28621,2016-03-25T11:56:55Z,Opel_Corsa_1.2_16V_Njoy,privat,Angebot,2261,test,kleinwagen,2003,manuell,75,corsa,150000,3,benzin,opel,nein,2016-03-25T00:00:00Z,0,74343,2016-03-31T18:46:34Z,6
101313,2016-03-22T12:48:41Z,Opel_Corsa_1.2_16V,privat,Angebot,1328,control,kleinwagen,2003,manuell,75,corsa,150000,12,benzin,opel,nein,2016-03-22T00:00:00Z,0,81739,2016-04-04T00:17:34Z,13
22503,2016-03-05T14:40:29Z,Anschauen_lohnt_Peugeot_206_Sw_Quiksilver,privat,Angebot,2498,control,kombi,2005,manuell,88,,150000,4,benzin,peugeot,nein,2016-03-05T00:00:00Z,0,66571,2016-03-14T20:46:19Z,9
30099,2016-03-22T13:39:13Z,Opel_Astra_1.7_CDTI_DPF_S_T_AHK_Navi_Garantie,privat,Angebot,9414,control,kombi,2011,manuell,110,astra,100000,1,diesel,opel,nein,2016-03-22T00:00:00Z,0,26169,2016-04-06T02:16:09Z,15
179373,2016-04-03T13:52:46Z,VW_Golf_3_zum_basteln_oder_ausschlachten_+_Soundanlage,privat,Angebot,134,control,kleinwagen,1994,manuell,75,golf,150000,0,benzin,volkswagen,nein,2016-04-03T00:00:00Z,0,71277,2016-04-05T12:46:37Z,2
52907,2016-03-19T16:52:51Z,Reserviert_bis_morgen_15h_Smart_Fortwo_Coupe_Pure:_f.Hobbybastler,privat,Angebot,831,test,limousine,2005,automatik,50,fortwo,100000,2,benzin,smart,ja,2016-03-19T00:00:00Z,0,40235,2016-03-19T16:52:51Z,0
149995,2016-03-24T19:46:47Z,Mazda_6_Sport_Kombi_1.8_Active,privat,Angebot,7501,control,kombi,2008,manuell,120,6_reihe,100000,3,benzin,mazda,nein,2016-03-24T00:00:00Z,0,59846,2016-04-05T11:49:59Z,12
68509,2016-03-25T00:56:56Z,Audi_TT_Coupe_1.8_T,privat,Angebot,5446,control,coupe,2000,manuell,179,tt,150000,5,benzin,audi,nein,2016-03-24T00:00:00Z,0,15732,2016-04-02T08:46:05Z,9
127064,2016-03-31T07:57:23Z,Laguna_Grandtour_1.8,privat,Angebot,1445,test,kombi,2002,automatik,116,laguna,150000,3,benzin,renault,nein,2016-03-31T00:00:00Z,0,15566,2016-04-04T01:17:18Z,4
42295,2016-03-27T22:53:17Z,Volkswagen_Polo_6N2_GTI,privat,Angebot,2851,test,kleinwagen,2001,manuell,125,polo,150000,4,benzin,volkswagen,nein,2016-03-27T00:00:00Z,0,75417,2016-04-02T02:46:00Z,6
144356,2016-03-19T17:47:59Z,Mercedes_Benz_E_320_CDI_Avantgarde,privat,Angebot,7490,control,limousine,2002,automatik,204,e_klasse,150000,12,diesel,mercedes_benz,nein,2016-03-19T00:00:00Z,0,30459,2016-04-01T07:49:22Z,13
155422,2016-03-25T15:25:22Z,Opel_Corsa_1.2_16V,privat,Angebot,1609,control,limousine,2002,manuell,75,corsa,150000,12,benzin,opel,nein,2016-03-25T00:00:00Z,0,35398,2016-03-30T18:16:33Z,5
191893,2016-04-04T21:46:09Z,Renault_Megane_1.4_16v,privat,Angebot,242,test,limousine,2000,manuell,0,megane,150000,4,benzin,renault,nein,2016-04-04T00:00:00Z,0,66740,2016-04-07T00:17:12Z,3
192108,2016-03-17T21:43:10Z,Renault_Megane_1.6_Coupe_Cabriolet_Dynamique,privat,Angebot,5887,test,cabrio,2006,manuell,111,megane,100000,5,benzin,renault,nein,2016-03-17T00:00:00Z,0,97762,2016-04-07T11:16:28Z,21
93107,2016-04-01T17:36:54Z,Skoda_Citigo_1.0_MPI,privat,Angebot,7016,test,kleinwagen,2013,manuell,60,citigo,30000,5,benzin,skoda,nein,2016-04-01T00:00:00Z,0,13125,2016-04-05T12:46:07Z,4
181104,2016-03-12T15:37:14Z,Opel_Astra_1.6,privat,Angebot,4017,control,limousine,2006,manuell,105,astra,150000,11,benzin,opel,nein,2016-03-12T00:00:00Z,0,76751,2016-03-24T12:15:57Z,12
134772,2016-03-28T02:36:42Z,Peugeot_207_CC_120_VTi_Premium,privat,Angebot,7954,test,cabrio,2011,manuell,120,2_reihe,90000,5,benzin,peugeot,nein,2016-03-28T00:00:00Z,0,58638,2016-04-04T10:15:31Z,7
132650,2016-04-04T21:42:04Z,BMW_525i__E_39,privat,Angebot,2729,test,limousine,2000,manuell,193,5er,150000,11,benzin,bmw,nein,2016-04-04T00:00:00Z,0,94437,2016-04-04T21:42:04Z,0
130108,2016-04-03T12:54:46Z,OPEL_CORSA_B_1_0_12V_ECO_TÜV_07/2017,privat,Angebot,460,control,kleinwagen,1998,manuell,55,corsa,150000,8,benzin,opel,nein,2016-04-03T00:00:00Z,0,36124,2016-04-05T11:46:24Z,2
90469,2016-03-12T11:25:20Z,Fiat_Ducato,privat,Angebot,3049,test,bus,2003,manuell,87,ducato,150000,9,diesel,fiat,nein,2016-03-12T00:00:00Z,0,56290,2016-04-06T07:16:16Z,25
102719,2016-03-10T12:48:23Z,Ford_Puma_TÜV_neu;_Navi;_8fach,privat,Angebot,1355,test,kleinwagen,2000,manuell,90,andere,125000,3,benzin,ford,nein,2016-03-10T00:00:00Z,0,30926,2016-03-20T21:44:26Z,10
143471,2016-03-23T10:51:29Z,Volkswagen_Polo_1.2_Klimaautomatik__Sitzheizung__El_Fenster,privat,Angebot,1649,control,kleinwagen,2002,manuell,64,polo,150000,3,benzin,volkswagen,nein,2016-03-23T00:00:00Z,0,73230,2016-03-23T10:51:29Z,0
80557,2016-03-29T13:38:18Z,MINI_Cooper_Clubman,privat,Angebot,8998,control,kombi,2008,manuell,120,clubman,70000,12,benzin,mini,nein,2016-03-29T00:00:00Z,0,99817,2016-04-05T22:46:18Z,7
43076,2016-03-31T16:49:14Z,VW_Golf_5_Tour_1.4_16V,privat,Angebot,4340,control,limousine,2007,manuell,80,golf,150000,7,benzin,volkswagen,nein,2016-03-31T00:00:00Z,0,66333,2016-04-05T12:46:42Z,5
82344,2016-03-24T18:50:35Z,Volkswagen_Passat_Variant_1.8_5V_4Motion_Edition,privat,Angebot,945,test,kombi,2000,manuell,125,passat,150000,1,benzin,volkswagen,nein,2016-03-24T00:00:00Z,0,75305,2016-03-24T18:50:35Z,0
120814,2016-03-08T19:49:40Z,Nissan_Navara_D22_King_Cab__LKW__Offroad__wenig_Km__Standheizung_,privat,Angebot,7262,test,suv,2000,manuell,101,andere,150000,1,diesel,nissan,nein,2016-03-08T00:00:00Z,0,09111,2016-04-05T15:18:15Z,28
93531,2016-04-05T11:50:01Z,"Opel_Corsa_1.2_16V_Njoy.__""Easytronic""__TÜV/_AU_Neu!!",privat,Angebot,3481,test,kleinwagen,2003,automatik,75,corsa,40000,4,benzin,opel,nein,2016-04-05T00:00:00Z,0,42859,2016-04-05T11:50:01Z,0
113130,2016-04-04T15:49:33Z,Renault_1.2_Expression_Top_Zustand,privat,Angebot,4865,test,kleinwagen,2010,manuell,58,twingo,30000,12,benzin,renault,nein,2016-04-04T00:00:00Z,0,66822,2016-04-04T15:49:33Z,0
80289,2016-04-07T12:36:39Z,Citroën_Berlingo_L1_1.6_16V_Niveau_A,privat,Angebot,2010,test,bus,2008,manuell,90,berlingo,150000,4,benzin,citroen,nein,2016-04-07T00:00:00Z,0,39387,2016-04-07T12:36:39Z,0
1905,2016-03-26T13:48:34Z,Mercedes_Benz_213_CDI_Sprinter_Mitt_Klimaanlage_1_Hand,privat,Angebot,6921,control,bus,2006,manuell,129,sprinter,150000,3,diesel,mercedes_benz,nein,2016-03-26T00:00:00Z,0,50733,2016-04-07T12:15:30Z,12
39502,2016-03-13T20:51:27Z,Opel_Meriva_Diesel,privat,Angebot,2165,control,bus,2004,manuell,101,meriva,150000,10,diesel,opel,nein,2016-03-13T00:00:00Z,0,24340,2016-03-21T18:15:43Z,8
194164,2016-03-18T11:06:23Z,Daihatsu_Cuore_1.0_Plus,privat,Angebot,1175,control,kleinwagen,2003,manuell,58,cuore,60000,5,benzin,daihatsu,ja,2016-03-18T00:00:00Z,0,65201,2016-03-18T11:06:23Z,0
140607,2016-04-01T09:46:27Z,BMW_320d,privat,Angebot,2847,test,limousine,2002,manuell,150,3er,150000,4,diesel,bmw,nein,2016-04-01T00:00:00Z,0,01796,2016-04-01T09:46:27Z,0
18308,2016-03-10T20:52:24Z,Renault_Megane_Coach_1.6e,privat,Angebot,543,test,coupe,1998,manuell,90,megane,150000,5,benzin,renault,ja,2016-03-10T00:00:00Z,0,67227,2016-03-17T11:15:44Z,7
135465,2016-03-25T12:53:49Z,BMW_Z4_roadster_2.2i,privat,Angebot,9506,test,cabrio,2004,manuell,170,z_reihe,125000,6,benzin,bmw,nein,2016-03-25T00:00:00Z,0,66871,2016-03-30T02:18:15Z,5
869,2016-03-17T20:37:39Z,Ford_Fiesta_1.25_Trend__Unfallfrei__Klima__Scheckheft_gepflegt_,privat,Angebot,5639,control,kleinwagen,2009,manuell,60,fiesta,80000,3,benzin,ford,nein,2016-03-17T00:00:00Z,0,65474,2016-04-06T23:45:29Z,20
51757,2016-03-20T19:49:10Z,Volkswagen_Golf_1.4_TSI_GT_Sport_R_Line,privat,Angebot,7255,test,limousine,2007,manuell,200,golf,150000,9,benzin,volkswagen,nein,2016-03-20T00:00:00Z,0,53925,2016-04-07T04:17:12Z,18
99877,2016-03-12T16:39:53Z,BMW_X3_Vollausstattung_2_0L,privat,Angebot,6977,control,suv,2004,manuell,150,x_reihe,150000,7,diesel,bmw,nein,2016-03-12T00:00:00Z,0,51645,2016-03-16T20:18:23Z,4
57117,2016-03-21T19:43:11Z,Volkswagen_T3_Multivan_Doka_Pritsche__STH__AHK__ZV__Servo!,privat,Angebot,3816,test,bus,1992,manuell,69,,125000,12,diesel,volkswagen,nein,2016-03-21T00:00:00Z,0,30827,2016-03-23T00:45:24Z,2
108404,2016-03-16T11:36:22Z,Ford_Ka_schwarz_metallic__TueV_Neu,privat,Angebot,864,test,kleinwagen,2005,manuell,69,ka,150000,0,benzin,ford,nein,2016-03-16T00:00:00Z,0,59174,2016-03-16T12:44:53Z,0
127923,2016-03-26T09:52:44Z,VW_Golf4_lim.1.6_Generation_2001,privat,Angebot,2262,control,limousine,2001,manuell,77,,150000,9,benzin,volkswagen,nein,2016-03-26T00:00:00Z,0,97421,2016-03-27T21:45:40Z,1
99249,2016-03-27T16:59:08Z,Ford_Mondeo_2_0_TDCi_Ghia_Tuev_Neu_Ahk_Navi_Klima,privat,Angebot,1756,test,kombi,2003,manuell,131,mondeo,150000,8,diesel,ford,nein,2016-03-27T00:00:00Z,0,84453,2016-03-27T17:39:39Z,0
150022,2016-03-22T21:49:57Z,Hallo_Mazda_Premacy_2002_Klima_laeuft_gut_bei_Interesse_melden,privat,Angebot,728,control,bus,2002,manuell,139,andere,150000,11,benzin,mazda,nein,2016-03-22T00:00:00Z,0,45141,2016-03-22T21:49:57Z,0
111043,2016-03-20T19:47:50Z,Ford_Ka___43.600_km__Bj.01/04_TÜV12/17_+So/Wi.Reifen!,privat,Angebot,1477,test,kleinwagen,2004,manuell,60,ka,50000,1,benzin,ford,nein,2016-03-20T00:00:00Z,0,29223,2016-03-24T13:15:20Z,4
